2024-12-25T16:00:03.043+0100 INFO               [http-nio-8082-exec-1]         be.pxl.services.controller.PostController - Post added
2024-12-25T17:28:35.532+0100 INFO               [main]                         be.pxl.services.PostServiceApplication - Starting PostServiceApplication using Java 22.0.1 with PID 4003 (/Users/furkan/Desktop/jaar3/project-MehmetKarakocPXL/backend-java/post-service/target/classes started by furkan in /Users/furkan/Desktop/jaar3/project-MehmetKarakocPXL/backend-java)
2024-12-25T17:28:35.533+0100 DEBUG              [main]                         be.pxl.services.PostServiceApplication - Running with Spring Boot v3.3.5, Spring v6.1.14
2024-12-25T17:28:35.534+0100 INFO               [main]                         be.pxl.services.PostServiceApplication - No active profile set, falling back to 1 default profile: "default"
2024-12-25T17:28:38.603+0100 INFO               [main]                         be.pxl.services.PostServiceApplication - Started PostServiceApplication in 3.881 seconds (process running for 4.554)
2024-12-25T17:29:20.765+0100 INFO               [http-nio-8082-exec-3]         be.pxl.services.controller.PostController - Post added
2024-12-25T17:45:47.671+0100 INFO               [main]                         be.pxl.services.PostServiceApplication - Starting PostServiceApplication using Java 22.0.1 with PID 4776 (/Users/furkan/Desktop/jaar3/project-MehmetKarakocPXL/backend-java/post-service/target/classes started by furkan in /Users/furkan/Desktop/jaar3/project-MehmetKarakocPXL/backend-java)
2024-12-25T17:45:47.671+0100 DEBUG              [main]                         be.pxl.services.PostServiceApplication - Running with Spring Boot v3.3.5, Spring v6.1.14
2024-12-25T17:45:47.672+0100 INFO               [main]                         be.pxl.services.PostServiceApplication - No active profile set, falling back to 1 default profile: "default"
2024-12-25T17:45:51.139+0100 INFO               [main]                         be.pxl.services.PostServiceApplication - Started PostServiceApplication in 4.189 seconds (process running for 4.735)
2024-12-25T18:08:47.838+0100 INFO               [main]                         be.pxl.services.PostServiceApplication - Starting PostServiceApplication using Java 22.0.1 with PID 5740 (/Users/furkan/Desktop/jaar3/project-MehmetKarakocPXL/backend-java/post-service/target/classes started by furkan in /Users/furkan/Desktop/jaar3/project-MehmetKarakocPXL/backend-java)
2024-12-25T18:08:47.839+0100 DEBUG              [main]                         be.pxl.services.PostServiceApplication - Running with Spring Boot v3.3.5, Spring v6.1.14
2024-12-25T18:08:47.840+0100 INFO               [main]                         be.pxl.services.PostServiceApplication - No active profile set, falling back to 1 default profile: "default"
2024-12-25T18:10:24.735+0100 INFO               [main]                         be.pxl.services.PostServiceApplication - Starting PostServiceApplication using Java 22.0.1 with PID 5801 (/Users/furkan/Desktop/jaar3/project-MehmetKarakocPXL/backend-java/post-service/target/classes started by furkan in /Users/furkan/Desktop/jaar3/project-MehmetKarakocPXL/backend-java)
2024-12-25T18:10:24.736+0100 DEBUG              [main]                         be.pxl.services.PostServiceApplication - Running with Spring Boot v3.3.5, Spring v6.1.14
2024-12-25T18:10:24.737+0100 INFO               [main]                         be.pxl.services.PostServiceApplication - No active profile set, falling back to 1 default profile: "default"
2024-12-25T18:10:28.260+0100 INFO               [main]                         be.pxl.services.PostServiceApplication - Started PostServiceApplication in 4.138 seconds (process running for 4.521)
2024-12-25T18:12:06.740+0100 INFO               [http-nio-8082-exec-3]         be.pxl.services.controller.PostController - Post added
2024-12-25T18:15:00.299+0100 INFO               [main]                         be.pxl.services.PostServiceApplication - Starting PostServiceApplication using Java 22.0.1 with PID 5989 (/Users/furkan/Desktop/jaar3/project-MehmetKarakocPXL/backend-java/post-service/target/classes started by furkan in /Users/furkan/Desktop/jaar3/project-MehmetKarakocPXL/backend-java)
2024-12-25T18:15:00.300+0100 DEBUG              [main]                         be.pxl.services.PostServiceApplication - Running with Spring Boot v3.3.5, Spring v6.1.14
2024-12-25T18:15:00.301+0100 INFO               [main]                         be.pxl.services.PostServiceApplication - No active profile set, falling back to 1 default profile: "default"
2024-12-25T18:15:04.112+0100 INFO               [main]                         be.pxl.services.PostServiceApplication - Started PostServiceApplication in 4.376 seconds (process running for 4.765)
2024-12-25T18:16:11.422+0100 INFO               [main]                         be.pxl.services.PostServiceApplication - Starting PostServiceApplication using Java 22.0.1 with PID 6035 (/Users/furkan/Desktop/jaar3/project-MehmetKarakocPXL/backend-java/post-service/target/classes started by furkan in /Users/furkan/Desktop/jaar3/project-MehmetKarakocPXL/backend-java)
2024-12-25T18:16:11.423+0100 DEBUG              [main]                         be.pxl.services.PostServiceApplication - Running with Spring Boot v3.3.5, Spring v6.1.14
2024-12-25T18:16:11.423+0100 INFO               [main]                         be.pxl.services.PostServiceApplication - No active profile set, falling back to 1 default profile: "default"
2024-12-25T18:16:14.968+0100 INFO               [main]                         be.pxl.services.PostServiceApplication - Started PostServiceApplication in 4.161 seconds (process running for 4.599)
2024-12-25T18:16:28.132+0100 INFO               [http-nio-8082-exec-3]         be.pxl.services.controller.PostController - Post added
